source_id,specimen_id,load_step,rotation_rad,measured_response_as_published,predicted_response_as_published,data_provenance
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,1,0.00019478,9.03466500,9.03466500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,2,0.00058433,10.33620000,10.46323250,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,3,0.00097388,11.89180000,11.89180000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,4,0.00136343,12.15585000,12.18630000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,5,0.00175297,12.48080000,12.48080000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,6,0.00214253,11.87055000,12.06825000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,7,0.00253207,11.65570000,11.65570000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,8,0.00292163,11.57165000,12.50735000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,9,0.00331117,13.35900000,13.35900000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,10,0.00370073,12.70960000,13.26590000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,11,0.00409027,13.17280000,13.17280000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,12,0.00447982,14.31450000,13.53180000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,13,0.00486938,13.89080000,13.89080000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,14,0.00525893,14.40020000,13.97560000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC01,15,0.00564848,14.06040000,14.06040000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,1,0.00014296,11.83770000,11.83770000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,2,0.00042888,10.21275000,11.02415000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,3,0.00071480,10.21060000,10.21060000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,4,0.00100073,10.63325000,8.69986000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,5,0.00128665,7.18912000,7.18912000,processed from DesignSafe raw sac2rc*.txt cyclic response files
